date,product_id,store_id,category,units_sold,price,cost,discount_pct,is_promotion,is_holiday,inventory_level,competitor_price,weather_temp,day_of_week,week_of_year,month
2022-01-01,P101,S1,Electronics,95,96.06,71.7,20,1,0,171,89.45,11.7,5,52,1
2022-01-01,P101,S2,Electronics,209,31.43,22.95,20,1,1,463,29.62,15.5,5,52,1
2022-01-01,P101,S3,Electronics,99,68.93,41.46,0,0,0,108,67.55,11.4,5,52,1
2022-01-01,P102,S1,Electronics,44,56.49,42.76,10,1,0,293,57.53,11.4,5,52,1
2022-01-01,P102,S2,Electronics,54,56.04,33.77,0,0,1,291,54.76,10.5,5,52,1
2022-01-01,P102,S3,Electronics,146,55.21,34.47,20,1,0,84,59.73,17.8,5,52,1
2022-01-01,P103,S1,Grocery,27,54.01,34.65,15,1,0,240,57.71,23.5,5,52,1
2022-01-01,P103,S2,Grocery,155,67.83,53.21,15,1,0,345,72.51,32.4,5,52,1
2022-01-01,P103,S3,Grocery,58,48.54,31.85,15,1,0,206,51.47,12.2,5,52,1
2022-01-01,P104,S1,Fashion,133,51.59,33.98,10,1,0,441,53.95,33.1,5,52,1
2022-01-01,P104,S2,Fashion,79,93.2,71.76,15,1,0,97,90.79,30.1,5,52,1
2022-01-01,P104,S3,Fashion,63,71.0,55.2,0,0,0,480,74.03,32.8,5,52,1
2022-01-01,P105,S1,Fashion,42,59.5,41.92,5,1,0,228,53.93,29.1,5,52,1
2022-01-01,P105,S2,Fashion,146,75.64,47.49,20,1,0,78,71.54,12.3,5,52,1
2022-01-01,P105,S3,Fashion,109,90.44,65.56,0,0,0,333,95.93,15.6,5,52,1
2022-01-02,P101,S1,Electronics,89,45.95,28.69,0,0,0,274,43.85,29.4,6,52,1
2022-01-02,P101,S2,Electronics,121,88.86,53.44,10,1,0,214,92.28,18.1,6,52,1
2022-01-02,P101,S3,Electronics,76,45.86,32.27,0,0,0,367,50.18,38.9,6,52,1
2022-01-02,P102,S1,Electronics,20,76.98,48.47,0,0,0,51,77.02,11.5,6,52,1
2022-01-02,P102,S2,Electronics,144,70.75,52.08,20,1,0,209,71.5,27.8,6,52,1
2022-01-02,P102,S3,Electronics,100,39.01,29.09,20,1,0,247,38.22,34.5,6,52,1
2022-01-02,P103,S1,Grocery,119,45.66,29.1,20,1,0,301,47.28,10.5,6,52,1
2022-01-02,P103,S2,Grocery,38,47.89,29.66,0,0,0,177,48.06,35.1,6,52,1
2022-01-02,P103,S3,Grocery,98,29.08,22.82,5,1,0,301,27.19,39.5,6,52,1
2022-01-02,P104,S1,Fashion,39,99.7,79.07,20,1,1,58,95.29,31.0,6,52,1
2022-01-02,P104,S2,Fashion,48,90.97,68.77,15,1,0,469,98.22,28.2,6,52,1
2022-01-02,P104,S3,Fashion,143,73.08,43.92,5,1,0,212,75.3,16.7,6,52,1
2022-01-02,P105,S1,Fashion,68,59.51,37.84,10,1,0,82,60.02,25.3,6,52,1
2022-01-02,P105,S2,Fashion,53,39.52,31.4,20,1,0,313,40.56,33.8,6,52,1
2022-01-02,P105,S3,Fashion,58,73.51,56.81,15,1,0,196,74.57,33.1,6,52,1
2022-01-03,P101,S1,Electronics,81,95.24,75.31,20,1,0,429,86.01,37.8,0,1,1
2022-01-03,P101,S2,Electronics,90,65.78,52.37,15,1,0,465,70.4,19.5,0,1,1
2022-01-03,P101,S3,Electronics,56,51.58,39.65,10,1,0,329,48.57,30.1,0,1,1
2022-01-03,P102,S1,Electronics,47,43.62,28.99,0,0,0,295,42.4,18.8,0,1,1
2022-01-03,P102,S2,Electronics,146,40.5,29.25,15,1,0,362,41.53,15.8,0,1,1
2022-01-03,P102,S3,Electronics,45,24.06,18.7,15,1,0,337,24.44,11.1,0,1,1
2022-01-03,P103,S1,Grocery,106,98.55,75.66,5,1,0,229,89.46,19.1,0,1,1
2022-01-03,P103,S2,Grocery,149,86.23,56.42,15,1,0,245,92.13,15.8,0,1,1
2022-01-03,P103,S3,Grocery,209,70.99,52.91,20,1,1,155,68.48,33.9,0,1,1
2022-01-03,P104,S1,Fashion,193,79.52,51.7,5,1,1,328,78.38,30.7,0,1,1
2022-01-03,P104,S2,Fashion,20,55.39,35.89,0,0,0,422,56.92,25.5,0,1,1
